AppID,AppName,PhoneNumber,WabaId,PhoneId,Region
fc556e8e-87bd-4be2-b2dd-59cea8b1d876,MamaeCream,553175077771,106098102427619,102444592797448,
fc5af2a1-466c-4ce0-b8f8-fb3a51a7d715,ESTUDIOVIRAL,558582301055,295202490343537,303670192832566,
fc756365-f0af-4a1e-9d1f-e2479c50bcb8,hotelDonaBeja,553432013000,104777645732428,103657349181057,
fc8f6423-b640-45ec-8655-d8b969c66c80,amocrm55a337ce4a0044e48180c7be1ced0035,51981311617,120161857733121,107723985662428,
fc965a47-f255-42b7-9832-c5cadc64ebea,wkrastreamentoatendimento,558540420732,109027441913704,107751852126700,
fc981d28-f2d5-4385-a207-c84a8fae2281,HelpSistemas6643641bdb01205dc9884abb,551151989730,309839035547387,258187517388975,
fccd0c3d-3714-458f-a1dc-f721979853ca,pousadaDeutschesHaus,554830534522,103264282866444,112307855286155,
fcdae132-46e9-466e-ae3c-7d78b7ae5aae,6733989000,556733989000,108618395487073,114009021608846,
fcddc66f-41e5-4c28-bd7d-dc3479641346,ABLSantos,5513981724691,116118241525338,107360255744445,
fcebc5e4-f996-4e97-8f27-3353e2f1d779,RaffaPizzaria,5511930855217,105850992572520,116018934879197,
fcf00cbb-b798-4f59-87d2-dac377b79ae8,amocrm52e432c9dbd347fe9a21a8af30b3a2d6,558005911373,101572219505066,123768047477447,
fcf08bad-543e-4568-be7d-c7fca166bbff,FIBRALINK63c6da13e23410e4004134d3,5514997080225,109521125372897,103429852657363,
fcf1fd04-c192-437d-b4ce-74629935a720,Clicb16471792Jautec,559981890005,113689601720290,105014022595931,
fd0ee12b-c4e9-42fd-b59a-6add1b273bd5,promotoradigital,559392358760,105059692357457,102722509263143,
fd4b69d5-bbe6-4901-9efd-082dfe5bae46,CRC063,551147371813,111517421863195,100228913069365,
fd69d05d-ca64-42a0-9c6d-c738f389da87,12344216969,12344216969,209663652223504,303345539527724,
fd6becca-c769-476b-b55a-f5cbeed1ed94,CRC044,551147371820,111517421863195,110646305297607,
fd7ca099-38c2-42d9-83a7-a346831ee9cd,13164488998,13164488998,203989629460035,254379671102266,
fd9ddf25-482c-4bd1-8637-e8ace2605c7c,16413815751,16413815751,161755770360852,185347814662023,
fdb1cb95-bdd6-4dfd-9bf3-464097c816bc,ScoreGiftsNow1151963100,551151963100,102926179409691,105323605843536,
fdb8cb46-1e0d-4167-bf21-8abd6118bf65,clinicaresende,5511988251900,122408640771286,103542746032095,
fdba3194-1f3b-49b3-abd8-c9503b27ca51,amocrmd940e885f1014ebe8419cb2dabc2ec06,556133526343,154502854407184,129887020215874,
fdd125cf-24bf-4def-9ceb-29defe3ada6d,LUGMALHAS3905,558332213905,211118545422328,168202323052584,
