AppID,AppName,PhoneNumber,WabaId,PhoneId,Region
ff489699-5cc6-4412-8f3e-bc77902773ce,SIM7VIAGENS9336,558592999336,256964597500867,266694753184490,
ff6fa49f-c2af-4517-b73e-a09bdefbe5ad,13107766022,13107766022,207714242419264,286620261194830,
ff86fa09-5231-46e6-b8a7-ccd964a9767f,arcelorsabara,553136791201,1.22097764762007E+017,1.22105436854002E+017,
ff91cc58-f7f3-49d7-89f0-7e6e5944d438,GrupoPhorteUSCS,5511978632072,227058350499312,262764326916376,
ffacde44-04f8-4535-838e-b44a8b41275d,LifeSunEnergia,5511985503261,105799342269634,104126469109960,
ffaed6b5-c20f-4e3c-9d9a-e08052e24b7d,AgendaEdu0272,551141300272,101568152670109,104866359019939,
ffb59696-5229-4c57-9dd5-560be9478024,Sliders,558531219352,474783084208183,1276627806164392,
ffc5824e-500d-4929-8142-734e311b34c8,CRC061,551147371811,111517421863195,108505978901208,
ffcc7e57-e809-4260-819c-a7b14256e9fa,LuzeAssessoria22,551148625686,102707025916079,100534849469648,
ffd18a25-13fe-42a8-8fca-da4bf77fb090,Clicb7939392GrupoTech,558521805512,3287560878133320,305157917800284,
ffe462ac-b04f-4d3c-a69e-68f09c95890c,10751HotelSolardoImperio,552421033001,102215769445337,108803905444596,
fffdc171-50ed-4f2b-82df-44f76bcf4c59,HbotHotelFlatSol,554796660235,108410718603944,103133822473390,
